security_id,quarter_end,institutional_shares,num_institutions
AAPL,2013-06-30,505719521.0,1491
AAPL,2013-09-30,509095501.0,1613
AAPL,2013-12-31,510528177.0,1787
AAPL,2014-03-31,500643870.0,1793
AAPL,2014-06-30,3531567463.0,1851
AAPL,2014-09-30,3425498010.0,1875
AAPL,2014-12-31,2788597275.0,1749
AAPL,2015-03-31,3315006449.0,2074
AAPL,2015-06-30,2981447947.0,2059
AAPL,2015-09-30,2481587228.0,1808
AAPL,2015-12-31,2312468087.0,1805
AAPL,2016-03-31,2436930253.0,1819
AAPL,2016-06-30,2438941753.0,1778
AAPL,2016-09-30,2922538530.0,2032
AAPL,2016-12-31,2958805877.0,2193
AAPL,2017-03-31,3131655272.0,2330
AAPL,2017-06-30,3057494175.0,2294
AAPL,2017-09-30,2991324508.0,2324
AAPL,2017-12-31,3041093740.0,2515
AAPL,2018-03-31,2906155518.0,2577
AAPL,2018-06-30,2845906241.0,2554
AAPL,2018-09-30,2763799225.0,2625
AAPL,2018-12-31,2717936556.0,2781
AAPL,2019-03-31,2681082410.0,2832
AAPL,2019-06-30,2233931813.0,2769
AAPL,2019-09-30,2596129074.0,2818
AAPL,2019-12-31,2533957018.0,3110
AAPL,2020-03-31,2535915242.0,3146
AAPL,2020-06-30,2560694734.0,3184
AAPL,2020-09-30,6189408575.0,2927
AAPL,2020-12-31,6603810255.0,2990
AAPL,2021-03-31,6358280635.0,3151
AAPL,2021-06-30,6134570165.0,3217
AAPL,2021-09-30,5288371387.0,3044
AAPL,2021-12-31,9067163340.0,3817
AAPL,2022-03-31,5828320173.0,3549
AAPL,2022-06-30,5743541113.0,3549
AAPL,2022-09-30,8334333223.0,3965
AAPL,2022-12-31,9176568022.0,4101
AAPL,2023-03-31,9023499745.0,4169
AAPL,2023-06-30,8869453313.0,4206
AAPL,2023-09-30,8701818107.0,4242
AAPL,2024-03-31,9049302572.0,4687
AAPL,2024-06-30,9234292543.0,4792
AAPL,2024-09-30,9057876631.0,4796
AAPL,2024-12-31,9358437073.0,5232
AAPL,2025-03-31,9111470753.0,5312
AAPL,2025-06-30,9187618069.0,5310
AAPL,2025-09-30,9111397690.0,5320
AAPL,2025-12-31,7510444564.0,5200
AAPL,2026-03-31,7663654138.0,5885
